HORA,CAMPEONATO,COLUNA,PROBABILIDADE,OUTCOME
23,Euro,02,0.4166666666666667,1.0
23,Euro,05,0.4444444444444444,1.0
23,Euro,08,0.3333333333333333,0.5
23,Euro,11,0.47619047619047616,1.0
23,Euro,14,0.3846153846153846,0.0
23,Euro,17,0.45454545454545453,1.0
23,Euro,23,0.46511627906976744,0.5
23,Euro,26,0.30303030303030304,0.5
23,Euro,29,0.4166666666666667,0.5
23,Euro,32,0.46511627906976744,0.0
23,Euro,35,0.3076923076923077,0.0
23,Euro,38,0.425531914893617,0.0
23,Euro,41,0.3921568627450981,0.0
23,Euro,44,0.4081632653061224,0.5
23,Euro,47,0.4,0.0
23,Euro,50,0.37037037037037035,0.5
23,Euro,53,0.4347826086956522,1.0
23,Euro,56,0.48780487804878053,1.0
22,Euro,02,0.4,1.0
22,Euro,05,0.4081632653061224,1.0
22,Euro,08,0.3846153846153846,0.5
22,Euro,11,0.4444444444444444,0.0
22,Euro,14,0.38167938931297707,1.0
22,Euro,17,0.4444444444444444,0.5
22,Euro,20,0.49504950495049505,0.0
22,Euro,23,0.3921568627450981,0.0
22,Euro,26,0.3846153846153846,1.0
22,Euro,29,0.3846153846153846,1.0
22,Euro,32,0.37037037037037035,0.0
22,Euro,35,0.38167938931297707,1.0
22,Euro,38,0.4,1.0
22,Euro,41,0.3333333333333333,0.0
22,Euro,44,0.37037037037037035,0.0
22,Euro,47,0.5128205128205129,0.5
22,Euro,50,0.4444444444444444,1.0
22,Euro,53,0.46511627906976744,1.0
22,Euro,56,0.45454545454545453,0.0
22,Euro,59,0.3921568627450981,1.0
21,Euro,02,0.4444444444444444,1.0
21,Euro,05,0.48309178743961356,0.5
21,Euro,08,0.4347826086956522,0.0
21,Euro,11,0.4347826086956522,0.0
21,Euro,14,0.5376344086021505,0.0
21,Euro,17,0.36363636363636365,0.5
21,Euro,20,0.35714285714285715,0.5
21,Euro,23,0.3921568627450981,1.0
21,Euro,26,0.35714285714285715,1.0
21,Euro,29,0.49504950495049505,1.0
21,Euro,32,0.5,0.0
21,Euro,35,0.3921568627450981,1.0
21,Euro,38,0.4166666666666667,0.0
21,Euro,41,0.4444444444444444,0.0
21,Euro,44,0.4081632653061224,0.5
21,Euro,47,0.3333333333333333,0.5
21,Euro,50,0.3448275862068966,0.0
21,Euro,53,0.45454545454545453,1.0
21,Euro,56,0.3125,0.5
21,Euro,59,0.5,1.0
20,Euro,02,0.37037037037037035,1.0
20,Euro,05,0.4444444444444444,1.0
20,Euro,08,0.42194092827004215,0.0
20,Euro,11,0.36363636363636365,1.0
20,Euro,14,0.3846153846153846,0.5
20,Euro,17,0.37037037037037035,0.5
20,Euro,20,0.4081632653061224,0.0
20,Euro,23,0.48309178743961356,0.0
20,Euro,26,0.4,1.0
20,Euro,29,0.4,1.0
20,Euro,32,0.3333333333333333,0.0
20,Euro,35,0.42194092827004215,0.0
20,Euro,41,0.48780487804878053,0.5
20,Euro,44,0.3333333333333333,1.0
20,Euro,50,0.36363636363636365,1.0
20,Euro,53,0.47619047619047616,0.0
20,Euro,56,0.3448275862068966,0.5
20,Euro,59,0.3921568627450981,0.0
19,Euro,02,0.4347826086956522,0.5
19,Euro,05,0.38167938931297707,0.0
19,Euro,08,0.3484320557491289,1.0
19,Euro,11,0.35714285714285715,0.0
19,Euro,14,0.4,0.0
19,Euro,17,0.4444444444444444,0.5
19,Euro,20,0.45454545454545453,1.0
19,Euro,23,0.3846153846153846,0.0
19,Euro,26,0.37037037037037035,1.0
19,Euro,29,0.4347826086956522,1.0
19,Euro,32,0.42194092827004215,0.5
19,Euro,35,0.42194092827004215,0.0
19,Euro,38,0.4347826086956522,1.0
19,Euro,41,0.5263157894736842,1.0
19,Euro,44,0.425531914893617,1.0
19,Euro,47,0.46511627906976744,0.0
19,Euro,50,0.4444444444444444,0.5
19,Euro,53,0.3225806451612903,1.0
19,Euro,56,0.5,1.0
19,Euro,59,0.3484320557491289,1.0
18,Euro,02,0.4347826086956522,1.0
18,Euro,05,0.37037037037037035,1.0
18,Euro,08,0.4081632653061224,0.0
18,Euro,11,0.5263157894736842,1.0
18,Euro,14,0.3225806451612903,1.0
18,Euro,17,0.4081632653061224,0.5
18,Euro,20,0.3484320557491289,0.0
18,Euro,23,0.46511627906976744,0.0
18,Euro,26,0.4444444444444444,0.0
18,Euro,29,0.4,1.0
18,Euro,32,0.4347826086956522,1.0
18,Euro,35,0.38167938931297707,0.5
18,Euro,38,0.4166666666666667,0.5
18,Euro,41,0.4444444444444444,0.5
18,Euro,44,0.35714285714285715,0.5
18,Euro,47,0.38167938931297707,0.0
18,Euro,50,0.3846153846153846,0.5
18,Euro,53,0.3225806451612903,0.0
18,Euro,56,0.35714285714285715,0.0
18,Euro,59,0.4444444444444444,1.0
0,Copa,01,0.4347826086956522,1.0
23,Copa,01,0.3448275862068966,0.5
23,Copa,04,0.3076923076923077,0.5
23,Copa,07,0.3125,1.0
23,Copa,10,0.5128205128205129,1.0
23,Copa,13,0.3846153846153846,1.0
23,Copa,16,0.4,0.0
23,Copa,19,0.5128205128205129,0.5
23,Copa,22,0.3484320557491289,1.0
23,Copa,25,0.5050505050505051,0.0
23,Copa,28,0.46511627906976744,1.0
23,Copa,31,0.3225806451612903,0.0
23,Copa,34,0.5128205128205129,1.0
23,Copa,37,0.4081632653061224,0.0
23,Copa,40,0.5405405405405405,0.0
23,Copa,43,0.47619047619047616,1.0
23,Copa,46,0.46511627906976744,1.0
23,Copa,49,0.2857142857142857,1.0
23,Copa,55,0.4081632653061224,1.0
23,Copa,58,0.46511627906976744,1.0
22,Copa,01,0.4347826086956522,1.0
22,Copa,04,0.4347826086956522,0.0
22,Copa,07,0.5263157894736842,0.0
22,Copa,10,0.42194092827004215,0.5
22,Copa,13,0.48780487804878053,0.5
22,Copa,16,0.3846153846153846,0.0
22,Copa,19,0.5128205128205129,1.0
22,Copa,22,0.37037037037037035,0.5
22,Copa,25,0.37037037037037035,1.0
22,Copa,28,0.3225806451612903,0.0
22,Copa,31,0.48780487804878053,0.0
22,Copa,34,0.3333333333333333,0.0
22,Copa,37,0.3484320557491289,0.5
22,Copa,40,0.42194092827004215,0.5
22,Copa,43,0.5263157894736842,1.0
22,Copa,46,0.42194092827004215,1.0
22,Copa,49,0.4444444444444444,0.5
22,Copa,52,0.4347826086956522,1.0
22,Copa,55,0.30303030303030304,1.0
22,Copa,58,0.5263157894736842,0.5
21,Copa,01,0.48780487804878053,0.5
21,Copa,04,0.3921568627450981,1.0
21,Copa,07,0.3484320557491289,1.0
21,Copa,10,0.5263157894736842,1.0
21,Copa,13,0.45454545454545453,1.0
21,Copa,16,0.46511627906976744,1.0
21,Copa,19,0.3846153846153846,0.5
21,Copa,22,0.5681818181818182,0.5
21,Copa,25,0.4347826086956522,0.0
21,Copa,28,0.49504950495049505,0.0
21,Copa,31,0.45454545454545453,1.0
21,Copa,34,0.4,1.0
21,Copa,37,0.4,1.0
21,Copa,40,0.3846153846153846,1.0
21,Copa,43,0.30303030303030304,1.0
21,Copa,46,0.5128205128205129,1.0
21,Copa,49,0.3846153846153846,0.0
21,Copa,52,0.5,0.5
21,Copa,55,0.4081632653061224,0.0
21,Copa,58,0.5681818181818182,1.0
20,Copa,01,0.3921568627450981,0.0
20,Copa,04,0.49504950495049505,1.0
20,Copa,07,0.42194092827004215,1.0
20,Copa,10,0.5,1.0
20,Copa,13,0.2857142857142857,0.0
20,Copa,16,0.3333333333333333,0.0
20,Copa,19,0.46511627906976744,0.5
20,Copa,22,0.4081632653061224,0.0
20,Copa,25,0.4347826086956522,0.5
20,Copa,28,0.4166666666666667,0.5
20,Copa,31,0.4166666666666667,1.0
20,Copa,34,0.5555555555555556,0.0
20,Copa,37,0.4444444444444444,0.0
20,Copa,40,0.4081632653061224,1.0
20,Copa,43,0.3846153846153846,1.0
20,Copa,46,0.46511627906976744,1.0
20,Copa,49,0.5376344086021505,0.0
20,Copa,52,0.5681818181818182,1.0
20,Copa,55,0.48309178743961356,0.0
20,Copa,58,0.36363636363636365,0.0
19,Copa,01,0.425531914893617,0.0
19,Copa,04,0.425531914893617,1.0
19,Copa,07,0.47619047619047616,0.5
19,Copa,10,0.42194092827004215,0.5
19,Copa,13,0.3076923076923077,0.5
19,Copa,16,0.47619047619047616,1.0
19,Copa,19,0.45454545454545453,0.5
19,Copa,22,0.3333333333333333,0.0
19,Copa,25,0.3333333333333333,0.5
19,Copa,28,0.4444444444444444,1.0
19,Copa,31,0.3484320557491289,1.0
19,Copa,34,0.5,1.0
19,Copa,37,0.5128205128205129,0.5
19,Copa,40,0.48780487804878053,0.5
19,Copa,43,0.4081632653061224,0.0
19,Copa,46,0.42194092827004215,1.0
19,Copa,49,0.4444444444444444,0.5
19,Copa,52,0.3921568627450981,0.0
19,Copa,55,0.3333333333333333,0.0
19,Copa,58,0.46511627906976744,0.0
18,Copa,04,0.47619047619047616,0.0
18,Copa,07,0.4347826086956522,0.5
18,Copa,10,0.4166666666666667,0.5
18,Copa,13,0.3333333333333333,1.0
18,Copa,16,0.3333333333333333,0.0
18,Copa,19,0.3846153846153846,0.0
18,Copa,22,0.29411764705882354,0.0
18,Copa,25,0.5813953488372093,1.0
18,Copa,28,0.42194092827004215,0.0
18,Copa,31,0.4166666666666667,0.0
18,Copa,34,0.3225806451612903,1.0
18,Copa,37,0.42194092827004215,0.0
18,Copa,40,0.5,0.5
18,Copa,43,0.46511627906976744,0.5
18,Copa,46,0.3125,0.5
18,Copa,49,0.5263157894736842,1.0
18,Copa,52,0.42194092827004215,1.0
18,Copa,55,0.4444444444444444,0.5
18,Copa,58,0.3484320557491289,0.0
0,Premier,00,0.37037037037037035,1.0
23,Premier,00,0.4444444444444444,0.0
23,Premier,03,0.29411764705882354,0.0
23,Premier,06,0.5,1.0
23,Premier,09,0.425531914893617,1.0
23,Premier,12,0.47619047619047616,1.0
23,Premier,15,0.4166666666666667,1.0
23,Premier,18,0.5681818181818182,0.5
23,Premier,21,0.3125,0.0
23,Premier,24,0.4444444444444444,1.0
23,Premier,27,0.45454545454545453,1.0
23,Premier,30,0.46511627906976744,0.0
23,Premier,33,0.45454545454545453,1.0
23,Premier,36,0.5128205128205129,0.0
23,Premier,39,0.4166666666666667,0.5
23,Premier,42,0.3921568627450981,1.0
23,Premier,45,0.46511627906976744,0.0
23,Premier,48,0.5050505050505051,1.0
23,Premier,51,0.5263157894736842,1.0
23,Premier,54,0.4444444444444444,1.0
23,Premier,57,0.4347826086956522,1.0
22,Premier,00,0.4,0.0
22,Premier,03,0.36363636363636365,0.0
22,Premier,06,0.45454545454545453,0.5
22,Premier,09,0.46511627906976744,1.0
22,Premier,12,0.47619047619047616,0.0
22,Premier,15,0.2777777777777778,0.5
22,Premier,18,0.3921568627450981,1.0
22,Premier,21,0.4,1.0
22,Premier,24,0.4081632653061224,1.0
22,Premier,27,0.5050505050505051,0.0
22,Premier,30,0.3125,1.0
22,Premier,33,0.3333333333333333,0.5
22,Premier,36,0.4,1.0
22,Premier,39,0.35714285714285715,0.5
22,Premier,42,0.36363636363636365,0.0
22,Premier,45,0.4,1.0
22,Premier,48,0.47619047619047616,1.0
22,Premier,51,0.3448275862068966,0.5
22,Premier,54,0.46511627906976744,0.0
22,Premier,57,0.425531914893617,0.0
21,Premier,00,0.37037037037037035,0.0
21,Premier,03,0.5128205128205129,0.0
21,Premier,06,0.425531914893617,0.0
21,Premier,09,0.4,0.5
21,Premier,12,0.35714285714285715,1.0
21,Premier,15,0.37037037037037035,1.0
21,Premier,18,0.37037037037037035,0.0
21,Premier,21,0.48780487804878053,1.0
21,Premier,24,0.45454545454545453,1.0
21,Premier,27,0.4347826086956522,0.0
21,Premier,30,0.46511627906976744,0.0
21,Premier,33,0.4347826086956522,0.0
21,Premier,36,0.45454545454545453,0.5
21,Premier,39,0.42194092827004215,0.0
21,Premier,42,0.5,1.0
21,Premier,45,0.5376344086021505,0.5
21,Premier,48,0.35714285714285715,0.5
21,Premier,51,0.4,1.0
21,Premier,54,0.4081632653061224,0.5
21,Premier,57,0.48309178743961356,0.5
20,Premier,00,0.4444444444444444,0.5
20,Premier,03,0.3484320557491289,1.0
20,Premier,06,0.3125,0.5
20,Premier,09,0.5128205128205129,1.0
20,Premier,12,0.5,0.5
20,Premier,15,0.36363636363636365,0.5
20,Premier,18,0.38167938931297707,0.0
20,Premier,21,0.47619047619047616,0.5
20,Premier,24,0.425531914893617,1.0
20,Premier,27,0.5128205128205129,0.0
20,Premier,30,0.37037037037037035,1.0
20,Premier,33,0.46511627906976744,1.0
20,Premier,36,0.38167938931297707,0.5
20,Premier,39,0.35714285714285715,1.0
20,Premier,42,0.4347826086956522,1.0
20,Premier,45,0.35714285714285715,1.0
20,Premier,48,0.37037037037037035,1.0
20,Premier,51,0.4,1.0
20,Premier,54,0.4081632653061224,0.5
20,Premier,57,0.4166666666666667,0.0
19,Premier,00,0.30303030303030304,0.0
19,Premier,03,0.4444444444444444,1.0
19,Premier,06,0.5,0.0
19,Premier,09,0.4,0.5
19,Premier,12,0.35714285714285715,0.5
19,Premier,15,0.3333333333333333,0.5
19,Premier,18,0.45454545454545453,0.0
19,Premier,21,0.37037037037037035,0.5
19,Premier,24,0.5263157894736842,1.0
19,Premier,27,0.4166666666666667,0.0
19,Premier,30,0.36363636363636365,1.0
19,Premier,33,0.3448275862068966,1.0
19,Premier,36,0.4081632653061224,0.5
19,Premier,39,0.35714285714285715,0.0
19,Premier,42,0.4,0.0
19,Premier,45,0.48780487804878053,1.0
19,Premier,48,0.38167938931297707,1.0
19,Premier,51,0.425531914893617,1.0
19,Premier,54,0.37037037037037035,0.0
19,Premier,57,0.5050505050505051,1.0
18,Premier,00,0.3125,1.0
18,Premier,03,0.35714285714285715,0.5
18,Premier,06,0.5,1.0
18,Premier,09,0.48309178743961356,0.0
18,Premier,12,0.36363636363636365,0.5
18,Premier,15,0.4444444444444444,0.0
18,Premier,18,0.5,0.0
18,Premier,21,0.38167938931297707,1.0
18,Premier,24,0.5464480874316939,1.0
18,Premier,27,0.3225806451612903,0.0
18,Premier,30,0.4444444444444444,0.5
18,Premier,33,0.5,1.0
18,Premier,36,0.3846153846153846,1.0
18,Premier,39,0.4,1.0
18,Premier,42,0.48780487804878053,1.0
18,Premier,45,0.37037037037037035,0.0
18,Premier,48,0.45454545454545453,0.5
18,Premier,51,0.3225806451612903,0.5
18,Premier,54,0.4166666666666667,1.0
18,Premier,57,0.45454545454545453,1.0
0,Super,01,0.3448275862068966,1.0
23,Super,01,0.35714285714285715,0.0
23,Super,04,0.48309178743961356,0.5
23,Super,07,0.3333333333333333,0.5
23,Super,10,0.37037037037037035,0.0
23,Super,13,0.5,1.0
23,Super,16,0.3921568627450981,0.5
23,Super,19,0.30303030303030304,0.0
23,Super,22,0.5,1.0
23,Super,25,0.3333333333333333,0.0
23,Super,28,0.4081632653061224,0.0
23,Super,31,0.45454545454545453,0.0
23,Super,34,0.45454545454545453,0.0
23,Super,37,0.4081632653061224,0.0
23,Super,40,0.4347826086956522,1.0
23,Super,43,0.48780487804878053,1.0
23,Super,46,0.3846153846153846,0.0
23,Super,49,0.38167938931297707,0.0
23,Super,52,0.37037037037037035,0.0
23,Super,55,0.3921568627450981,1.0
22,Super,01,0.3076923076923077,1.0
22,Super,04,0.4081632653061224,0.0
22,Super,07,0.4347826086956522,0.0
22,Super,10,0.45454545454545453,0.0
22,Super,13,0.4444444444444444,0.0
22,Super,16,0.48780487804878053,1.0
22,Super,19,0.37037037037037035,0.0
22,Super,22,0.3846153846153846,0.5
22,Super,25,0.4347826086956522,0.0
22,Super,28,0.5405405405405405,1.0
22,Super,34,0.4166666666666667,1.0
22,Super,37,0.3921568627450981,0.0
22,Super,40,0.3484320557491289,1.0
22,Super,43,0.42194092827004215,0.0
22,Super,46,0.3448275862068966,1.0
22,Super,49,0.42194092827004215,0.0
22,Super,52,0.42194092827004215,0.0
22,Super,55,0.45454545454545453,0.5
22,Super,58,0.47619047619047616,1.0
21,Super,01,0.425531914893617,0.5
21,Super,04,0.46511627906976744,0.0
21,Super,07,0.3076923076923077,0.0
21,Super,10,0.3484320557491289,0.5
21,Super,13,0.3921568627450981,0.5
21,Super,16,0.4081632653061224,1.0
21,Super,19,0.35714285714285715,0.0
21,Super,22,0.3846153846153846,1.0
21,Super,25,0.4444444444444444,0.5
21,Super,28,0.3921568627450981,1.0
21,Super,31,0.4444444444444444,1.0
21,Super,34,0.36363636363636365,1.0
21,Super,43,0.3484320557491289,1.0
21,Super,46,0.5263157894736842,1.0
21,Super,49,0.37037037037037035,0.0
21,Super,52,0.4,0.0
21,Super,55,0.5128205128205129,1.0
21,Super,58,0.4166666666666667,1.0
20,Super,01,0.42194092827004215,0.5
20,Super,04,0.4081632653061224,0.5
20,Super,07,0.35714285714285715,0.0
20,Super,10,0.3448275862068966,0.0
20,Super,13,0.3846153846153846,0.0
20,Super,16,0.4347826086956522,1.0
20,Super,19,0.3225806451612903,0.5
20,Super,22,0.2857142857142857,0.0
20,Super,25,0.4,0.0
20,Super,28,0.5464480874316939,1.0
20,Super,31,0.4,0.0
20,Super,34,0.4166666666666667,0.0
20,Super,37,0.3225806451612903,1.0
20,Super,40,0.38167938931297707,0.0
20,Super,43,0.47619047619047616,0.0
20,Super,46,0.45454545454545453,1.0
20,Super,49,0.4347826086956522,0.0
20,Super,52,0.38167938931297707,0.0
20,Super,55,0.425531914893617,0.0
20,Super,58,0.4347826086956522,0.0
19,Super,01,0.4347826086956522,0.0
19,Super,04,0.38167938931297707,0.0
19,Super,07,0.4444444444444444,1.0
19,Super,10,0.4347826086956522,1.0
19,Super,13,0.4444444444444444,1.0
19,Super,16,0.37037037037037035,0.0
19,Super,19,0.4166666666666667,0.0
19,Super,22,0.3125,0.0
19,Super,25,0.42194092827004215,0.0
19,Super,28,0.3333333333333333,1.0
19,Super,31,0.37037037037037035,0.0
19,Super,34,0.30303030303030304,0.0
19,Super,37,0.3921568627450981,0.5
19,Super,40,0.5263157894736842,1.0
19,Super,43,0.4347826086956522,0.5
19,Super,46,0.47619047619047616,0.0
19,Super,49,0.3846153846153846,1.0
19,Super,52,0.3846153846153846,1.0
19,Super,55,0.46511627906976744,0.0
19,Super,58,0.3448275862068966,1.0
18,Super,01,0.45454545454545453,0.0
18,Super,04,0.4444444444444444,0.0
18,Super,07,0.3484320557491289,1.0
18,Super,10,0.4444444444444444,1.0
18,Super,13,0.5263157894736842,0.5
18,Super,16,0.35714285714285715,1.0
18,Super,19,0.3333333333333333,0.0
18,Super,22,0.4,1.0
18,Super,25,0.4347826086956522,0.0
18,Super,28,0.45454545454545453,0.5
18,Super,31,0.5813953488372093,0.0
18,Super,34,0.3846153846153846,0.0
18,Super,37,0.3448275862068966,1.0
18,Super,40,0.36363636363636365,1.0
18,Super,43,0.47619047619047616,1.0
18,Super,46,0.37037037037037035,1.0
18,Super,49,0.42194092827004215,1.0
18,Super,52,0.4081632653061224,0.5
18,Super,55,0.425531914893617,0.0
18,Super,58,0.46511627906976744,0.0
