HORA,CAMPEONATO,COLUNA,MERCADO,PROBABILIDADE,CONFIANÃ‡A,STAKE,RESULTADO,GALE
9,COPA 19,19,BTTS,0.69,BAIXA,R$5.00,,
9,PREMIER 45,45,BTTS,0.67,BAIXA,R$5.00,,
9,COPA 43,43,BTTS,0.65,BAIXA,R$5.00,,
9,EURO 23,23,BTTS,0.65,BAIXA,R$5.00,,
9,SUPER 1,1,BTTS,0.65,BAIXA,R$5.00,,
9,PREMIER 51,51,BTTS,0.65,BAIXA,R$5.00,,
9,SUPER 52,52,BTTS,0.63,BAIXA,R$5.00,,
9,PREMIER 24,24,BTTS,0.63,BAIXA,R$5.00,,
9,SUPER 25,25,BTTS,0.62,BAIXA,R$5.00,,
9,COPA 37,37,BTTS,0.61,BAIXA,R$5.00,,
10,COPA 10,10,BTTS,0.68,BAIXA,R$5.00,,
10,SUPER 49,49,BTTS,0.65,BAIXA,R$5.00,,
10,COPA 43,43,BTTS,0.64,BAIXA,R$5.00,,
10,SUPER 1,1,BTTS,0.62,BAIXA,R$5.00,,
10,PREMIER 39,39,BTTS,0.62,BAIXA,R$5.00,,
10,SUPER 52,52,BTTS,0.61,BAIXA,R$5.00,,
10,EURO 38,38,BTTS,0.6,BAIXA,R$5.00,,
10,EURO 2,2,BTTS,0.6,BAIXA,R$5.00,,
10,PREMIER 54,54,BTTS,0.6,BAIXA,R$5.00,,
10,COPA 16,16,BTTS,0.59,BAIXA,R$5.00,,
10,PREMIER 45,45,BTTS,0.59,BAIXA,R$5.00,,
10,EURO 32,32,BTTS,0.56,BAIXA,R$5.00,,
11,EURO 47,47,BTTS,0.68,BAIXA,R$5.00,,
11,COPA 10,10,BTTS,0.66,BAIXA,R$5.00,,
11,COPA 1,1,BTTS,0.66,BAIXA,R$5.00,,
11,PREMIER 27,27,BTTS,0.64,BAIXA,R$5.00,,
11,EURO 23,23,BTTS,0.63,BAIXA,R$5.00,,
11,PREMIER 15,15,BTTS,0.63,BAIXA,R$5.00,,
11,PREMIER 21,21,BTTS,0.62,BAIXA,R$5.00,,
11,EURO 38,38,BTTS,0.61,BAIXA,R$5.00,,
11,SUPER 49,49,BTTS,0.6,BAIXA,R$5.00,,
11,COPA 46,46,BTTS,0.59,BAIXA,R$5.00,,
11,SUPER 40,40,BTTS,0.59,BAIXA,R$5.00,,
