CAMPEONATO,COLUNA,HORA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,PADRAO,RESULTADO,GALE
COPA,7,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,13,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,22,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,34,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,37,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,40,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,46,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,55,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,5,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,11,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,38,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,50,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,53,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,56,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,0,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
PREMIER,9,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,12,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,27,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,36,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,57,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,0,PLACAR 0X0,0.215,MÉDIA,R$3.00,MÉDIA,,
SUPER,3,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,6,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,12,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,21,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,24,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,27,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,33,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,39,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,42,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,45,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,48,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
COPA,7,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,13,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,22,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,34,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,37,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,40,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,46,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,55,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,5,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,11,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,38,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,50,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,53,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,56,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,0,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
PREMIER,9,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,12,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,27,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,36,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,57,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,1,PLACAR 0X0,0.215,MÉDIA,R$3.00,MÉDIA,,
SUPER,3,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,6,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,12,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,21,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,24,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,27,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,33,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,39,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,42,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,45,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,48,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
COPA,7,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,13,2,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,22,2,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,34,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,37,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,40,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,46,2,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,55,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,5,2,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,11,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,38,2,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,50,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,53,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,56,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,0,2,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
PREMIER,9,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,12,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,27,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,36,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,57,2,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,2,PLACAR 0X0,0.215,MÉDIA,R$3.00,MÉDIA,,
SUPER,3,2,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,6,2,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,12,2,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,21,2,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,24,2,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,27,2,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,33,2,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,39,2,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,42,2,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,45,2,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,48,2,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
COPA,13,3,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
COPA,22,3,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
COPA,46,3,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
EURO,5,3,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
EURO,38,3,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
PREMIER,0,3,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
SUPER,3,3,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,6,3,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,12,3,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,21,3,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,24,3,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,27,3,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,33,3,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,3,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,42,3,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,45,3,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,48,3,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
COPA,13,4,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
COPA,22,4,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
COPA,46,4,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
EURO,5,4,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
EURO,38,4,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
PREMIER,0,4,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
SUPER,3,4,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,6,4,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,12,4,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,21,4,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,24,4,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,27,4,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,33,4,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,4,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,42,4,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,45,4,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,48,4,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
COPA,13,5,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
COPA,22,5,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
COPA,46,5,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
EURO,5,5,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
EURO,38,5,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
PREMIER,0,5,UNDER 1.5,0.65,MÉDIA,R$10.00,ALTA,,
SUPER,3,5,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,6,5,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,12,5,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,21,5,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,24,5,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,27,5,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,33,5,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,5,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,42,5,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,45,5,UNDER 1.5,0.78,ALTA,R$15.00,ALTA,,
SUPER,48,5,UNDER 1.5,0.66,MÉDIA,R$10.00,MÉDIA,,
